Time: 00:06 - Junction3: 6 cars through Rj2to3, 0 waiting
Time: 02:21 - Junction3: 2 cars through Rj4to3, 0 waiting
Time: 02:24 - Junction3: 1 cars through east, 29 waiting
Time: 02:27 - Junction3: 2 cars through Rj2to3, 8 waiting
Time: 02:30 - Junction3: 4 cars through Rj4to3, 0 waiting
Time: 02:33 - Junction3: 5 cars through east, 26 waiting
Time: 02:36 - Junction3: 3 cars through Rj2to3, 10 waiting
Time: 02:39 - Junction3: 6 cars through Rj4to3, 0 waiting
Time: 02:42 - Junction3: 1 cars through east, 29 waiting
Time: 02:45 - Junction3: 2 cars through Rj2to3, 9 waiting
Time: 02:48 - Junction3: 3 cars through Rj4to3, 0 waiting
Time: 02:51 - Junction3: 3 cars through east, 30 waiting
Time: 02:54 - Junction3: 2 cars through Rj2to3, 8 waiting
Time: 02:57 - Junction3: 4 cars through Rj4to3, 0 waiting
Time: 03:00 - Junction3: 1 cars through east, 29 waiting
Time: 03:03 - Junction3: 2 cars through Rj2to3, 8 waiting
Time: 03:06 - Junction3: 4 cars through Rj4to3, 0 waiting
Time: 03:09 - Junction3: 4 cars through east, 27 waiting
Time: 03:12 - Junction3: 3 cars through Rj2to3, 10 waiting
Time: 03:14 - Junction3: 3 cars through Rj4to3, 0 waiting
Time: 03:17 - Junction3: 4 cars through east, 28 waiting
Time: 03:20 - Junction3: 2 cars through Rj2to3, 8 waiting
Time: 03:23 - Junction3: 3 cars through Rj4to3, 0 waiting
Time: 03:26 - Junction3: 4 cars through east, 29 waiting
Time: 03:29 - Junction3: 6 cars through Rj2to3, 4 waiting
Time: 03:32 - Junction3: 5 cars through Rj4to3, 0 waiting
Time: 03:35 - Junction3: 5 cars through east, 28 waiting
Time: 03:38 - Junction3: 4 cars through Rj2to3, 6 waiting
Time: 03:41 - Junction3: 8 cars through Rj4to3, 0 waiting
Time: 03:44 - Junction3: 5 cars through east, 28 waiting
Time: 03:47 - Junction3: 2 cars through Rj2to3, 9 waiting
Time: 03:50 - Junction3: 6 cars through Rj4to3, 0 waiting
Time: 03:53 - Junction3: 4 cars through east, 28 waiting
Time: 03:56 - Junction3: 2 cars through Rj2to3, 10 waiting
Time: 03:59 - Junction3: 4 cars through Rj4to3, 0 waiting
Time: 04:02 - Junction3: 1 cars through east, 29 waiting
Time: 04:05 - Junction3: 2 cars through Rj2to3, 8 waiting
Time: 04:08 - Junction3: 2 cars through Rj4to3, 0 waiting
Time: 04:11 - Junction3: 7 cars through east, 25 waiting
Time: 04:14 - Junction3: 3 cars through Rj2to3, 7 waiting
Time: 04:17 - Junction3: 8 cars through Rj4to3, 0 waiting
Time: 04:20 - Junction3: 2 cars through east, 29 waiting
Time: 04:23 - Junction3: 2 cars through Rj2to3, 9 waiting
Time: 04:26 - Junction3: 4 cars through Rj4to3, 0 waiting
Time: 04:29 - Junction3: 1 cars through east, 29 waiting
Time: 04:31 - Junction3: 2 cars through Rj2to3, 10 waiting
Time: 04:34 - Junction3: 3 cars through Rj4to3, 0 waiting
Time: 04:37 - Junction3: 2 cars through east, 28 waiting
Time: 04:40 - Junction3: 2 cars through Rj2to3, 9 waiting
Time: 04:43 - Junction3: 5 cars through Rj4to3, 0 waiting
Time: 04:46 - Junction3: 2 cars through east, 29 waiting
Time: 04:49 - Junction3: 2 cars through Rj2to3, 8 waiting
Time: 04:52 - Junction3: 4 cars through Rj4to3, 0 waiting
Time: 04:55 - Junction3: 2 cars through east, 28 waiting
Time: 04:58 - Junction3: 2 cars through Rj2to3, 9 waiting
Time: 59:59 - Junction3: 4 cars through Rj4to3, 0 waiting

